User Name,Number of Reviews by User,RfnDt 2,Time When reviewed,Reviews
Anita E,· 32 reviews,Local Guide,4 months ago,"Great customer service, never had an issue here. Barbara is super helpful and I'm always confident my packages will be dispatched efficiently here. Thank you!"
Dakkar (Rabanne),11 reviews,,a month ago,The woman that works there in the afternoons is rude and has an attitude if you ask for a receipt. I wish they’d replace her
Joan Beverley,22 reviews,,4 months ago,Great service fast and the staff alway polite. Barbara thank you for your professionalism.
Megan Farquhar,3 reviews,,a year ago,"Horrible horrible horrible service constantly! They have lost my packages on a number of occasions. Once they even gave me someone else’s package when going to pick up my own, I didn't notice until I was already back home and opening it! …"
Christi Volden,· 67 reviews,Local Guide,3 years ago,Conveniently located in College Square’s Rexall. I had no idea it was there until I searched for a post office in the area - a newer sign would draw more attention to it. The service was good. I did have to wait quite a while (like most …
Diva Only,· 24 reviews,Local Guide,4 years ago,Seriously ive been using this  post office since its first opening here and have had nothing but the best service except for the odd times its super busy and one person working you have a long wait-always one person working here can be …
Sean Cartwright,4 reviews,,5 years ago,I was given excellent customer service by a young lady named Britanny tonight. I had a volleyball shipped to me that I urgently needed tonight for a game and she gave friendly customer service and had it ready for me at the counter. Couldn't ask for more.
Sarah Smith,4 reviews,,5 years ago,I'm not impressed and its my first time using your post office! I live in a building where parcels are to be dropped off in a parcel box and a key placed in our mail box to pick it up. Can someone explain to me on why I have to go to the post office to pick up my parcel???? Not Happy:(
Lisa,· 95 reviews,Local Guide,5 months ago,"Canada Post sure knows how to ruin someone's day, and I'll give em that."
Leila Bidmeshki,6 reviews,,a year ago,"I always receive the best customer service in this post office, especially by a very sweet lady named Barbara."
,,,,
,,,,
,,,,
Nicolas P.,"· 1,035 reviews",Local Guide,5 months ago,"Great service, friendly staff"
Maddineni Vasu,· 25 reviews,Local Guide,11 months ago,Worst customer service. Please use some other location nearby !
Nathan Prokipcak,4 reviews,,a year ago,Post office doesn't keep posted hours and closes early at random
NAM NHUNG,28 reviews,,4 years ago,"Simple and basic post office with 2 staffs. Everything worked well, nothing to complain."
John Zwicewicz,· 89 reviews,Local Guide,3 years ago,"Consistently slow service at Canada Post here, typical of most locations."
Feng Bi,15 reviews,,6 years ago,"Used to visit in evenings, staffs there are very nice, passionate  and  professional. Thank you!"
Jennifer L,8 reviews,,2 years ago,posted 9:00 pm close but actually closed before 6pm
Jairo Levi,· 352 reviews,Local Guide,7 years ago,Regular Canada Post outlet.  Nothing remarkable about this one.
nicole,· 7 reviews,Local Guide,2 years ago,Great customer service :)
piyush badreshiya,· 6 reviews,Local Guide,4 years ago,
Kalpesh Shah,· 167 reviews,Local Guide,7 years ago,
Dax Alberto Morfe,· 134 reviews,Local Guide,2 years ago,
sulaiman hamish,· 20 reviews,Local Guide,2 years ago,
Nil Gondaliya,· 10 reviews,Local Guide,3 years ago,
Ziang Cui,· 11 reviews,Local Guide,5 years ago,
Thomas von Moos,· 9 reviews,Local Guide,5 years ago,
sagar sutariya,9 reviews,,3 years ago,
Simon Rinella,· 101 reviews,Local Guide,5 years ago,
Nicholas Johnny,2 reviews,,5 years ago,
Chan Michelle,2 reviews,,4 years ago,
Joseph Faizal Pinheiro,· 20 reviews,Local Guide,6 years ago,
,,,,
,,,,
,,,,
,,,,
Gary Howard,2 reviews,,8 months ago,"Very poor ! I paid 17$ for an overnight to Peterborough for Sept1
I tracked it and it says arrives Sept 5 . Spoiled the occasion
Shipped Aug 31 to arrive Sept1 Occasion on Sept 2. I was doubly assured by the two clerks it would be no problem ! well done CP"
Adreama Wilson,18 reviews,,8 months ago,If I could give zero stars I would. Not just for the Marivale shoppers drug mart Canada post location but for all Canada post locations. I usually go to ups but accidentally printed a Canada post label so I had no choice but to come here. …
Zeina Naserdine,6 reviews,,a year ago,"TERRIBLE Customer service, I came in to return a few packages (drop off without a receipt at 4:55PM) the staff wouldn’t take me at all “Jasmeet” the lady serving kept yelling saying she’s going to miss her bus, I told her it was important …"
Mandi,· 19 reviews,Local Guide,3 years ago,Have had to come to this location many times. Staff are always unfriendly. I hate having to pick up my package and deal with this location. I’ve never had one positive experience in all the times I’ve had to go there. All your staff have …
Kaelynne and IJ Makan,· 73 reviews,Local Guide,3 years ago,I personally have had great experience at this Canada Post. The staff are always friendly and they help me with any questions I have. I try to go to this location at all costs because I appreciate the way they treat  customers. I've been …
Jonathan Phillips,· 94 reviews,Local Guide,4 years ago,"We got a notice of our package arriving, stating that it would be at the post office after 6 same day. I drive down to the post office at this shoppers drug mart, and they tell us that the notice saying that we can pick it up after 6 means …"
Adrian Torok,1 review,,2 years ago,"I use this place multiple times a week to ship packages and I haven’t had one single shipping problem in the last 3 months. (knock on wood.)
Staff is excellent."
Da GC Squad,5 reviews,,5 years ago,"Very bad experience, i run a business in which i have to bring sometimes 15 - 20 packages, and some girl named Marta keeps me waiting like i have all the time in the world. She acts like she's CEO of canada post. I mean really, if there's a mistake, there's my phone number on the package. Big time wasted at this canada post."
summit boy,· 17 reviews,Local Guide,6 months ago,"Supposed to be open, but no-one there. No sign indicating hours of business or reason why not open..."
Vicki S,3 reviews,,2 years ago,Extremely rude.  Not following Covid guidelines and no access to hand sanitizer for staff even though it is a Shoppers Drug Mart.  Dealt with Sam today.
Julien,· 121 reviews,Local Guide,a year ago,"Couldn't use their packing tape, just for sell.  Meanwhile UPS they were willing to pack it for me."
Byron Bustillo,8 reviews,,5 years ago,Just came at 8:18 and the lady is closing it early.  Just because you want to go home early doesnt mean you can.  The closing time states 9pm.  Time is money.  Wont come back here smh
Lovepreet Sandhu,7 reviews,,9 months ago,Polite super friendly staff- Justin great job!
The Canadian David,3 reviews,,4 years ago,Always great service and excellent advice on the best available shipping rates and services.
Foo Bar,14 reviews,,2 years ago,Good experience overall. The location is quite convenient too.
Andrew Yun,· 19 reviews,Local Guide,3 years ago,Wouldnt let me use small amount of packing tapes. Had to come me back again. Thanks
Sidesho Vaid,1 review,,3 years ago,I have no problems with them
Nicholas Zuger,1 review,,5 years ago,
Robert F. Barsky,,,3 years ago,
Tim Bierema,4 reviews,,a year ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Becky Reid,· 66 reviews,Local Guide,4 months ago,"This Canada Post location has no respect for customers. They should not provide posted business hours as they open and close when they want to. There have been numerous occasions, including today, where I have arrived well within their …"
Al,· 839 reviews,Local Guide,a year ago,"I honestly dont know why this postal office has such a bad rating. I was served by Bev, she was bilingual and super nice. I go to alot of different postal offices and Bev is probably in my top 3 favorite staff. She is efficient and serves me with a smile."
Faiz H,· 158 reviews,Local Guide,10 months ago,I don't know what all the fuss is about. I had 28 packages all individually addressed and it was a smooth process. Cody carried a great conversation with us and explained the procedure on how to get them all sent out. We let him deal with …
Aalw Abu,· 17 reviews,Local Guide,2 days ago,"They have an excellent and patient employee
Thank you Harman."
Elena Guthmann,2 reviews,,7 months ago,"One of the male employees is incredibly disrespectful, passive aggressive, and makes you feel like absolute garbage just for trying to ship a package. He is the only employee I have encountered and I will purposely be driving farther to avoid this location in the future."
Xiaohang Ji,1 review,,9 months ago,There is a fat male staff member with a beard who had an extremely bad attitude. I thought he was racist but after browsing through the reviews I realized he had an impatient tone with everyone as if you owed him $50000. I don't know how a …
Elle Jee,1 review,,9 months ago,"First of all no one was at the counter for a while. Second, when the cashier actually came to the desk they were rude. Third, they could not help me, they couldn’t be bothered and told told me to go look online! Terrible service! Like Canada Post/Shoppers Drug Mary you HAVE TO do better. You literally have an average score of 1/5!"
Naiia Go,1 review,,a year ago,"Been there quite a few times and never had any problems. Service is friendly, prompt and civil even when there is a lineup. At busy hours you can always expect wait times because of the nature of the services offered but all in all its a great location."
John Nguyen,6 reviews,,a year ago,"I brought my package here to be sent away, I had my own tag that clearly states TO who and FROM who. The next day I get my package at my front door. It seems the worker Melanie had sent the package to the from address and not the to address. Wasted my money on shipping."
Qball 1,· 85 reviews,Local Guide,2 years ago,I went in to get a refund on a money order from Canada Post. Uthia couldn't get the computer working nor get a hold of anyone e to fix this. I spent 2 hours there. He suggested I go to another location. So I went on my e-bike. Limited …
Laura Elizabeth,11 reviews,,a year ago,"I got to various SDM post offices in this end of town, and this one is my favourite by far. The woman that I usually deal with is very pleasant and knows what she's doing. A pleasure doing business there."
Matt Austin,· 18 reviews,Local Guide,2 years ago,"WARNING: Closed Sat & Sun and only open 9 to 5 Mon-Fri.

Was closed when it said it was open. It was just after 5pm and it was closed …"
S Ferg,11 reviews,,2 years ago,"Given the harsh reviews posted, I feel compelled to add my overwhelmingly positive experience. This has been my community post office for nearly 15 years. The staff have always been helpful and friendly, in particular one lady who's been there for years and is very knowledgeable. Thumbs up!!"
Đarshil Pathak,· 28 reviews,Local Guide,2 years ago,"The lady working there was not having any knowledge. And she was very rude. She told me that she is calling someone who knows the work. She made me wait around 30 mins and still no one came. When asked, she was really very ignorant and told …"
Jen,· 127 reviews,Local Guide,3 years ago,"The hours keep changing since the beginning COVID-19 pandemic and they arent posting the hours, answering their phone or have the new hours on their voicemail. Leaving my home during this time is stressful so I only like to go out when …"
Michael Shaikin,15 reviews,,a year ago,Rudest employee I’ve ever seen at a Canada post location. Actually afraid he might not ship my packages. I’ll never come back to this location.
Sreenath Rao,· 15 reviews,Local Guide,a year ago,"This is my third time in last one year facing this issue with this post office location.
They close before their scheduled hours. …"
Phuong Le,4 reviews,,6 years ago,"The manager there, he is super rude. I am totally not sastified with the service at all. He made it difficult to pick up your own stuffs. It is really weird to ask for presence a hard copy of bank statement to show the address beside your …"
Zachary McCartney,· 24 reviews,Local Guide,3 years ago,TIM is still there ?!?!? A year later and the rudest customer service person still has their job.. wow customer service in Ottawa went down hard the past 4 years must be desperate for workers or something. Even TD bank now has 30 min wait times for basic stuff
Abdullah Arab,2 reviews,,4 years ago,"Very bad service and the employee “Tim” is very rude. He does not care about the customers. I was there to ship a item so I needed a box. He chose a box, opened it and assembled it only to find that box is too small. He proceeded to open a …"
danlei wang,10 reviews,,6 years ago,I went to pick up my package and I am living near the prince of wales，but the postman drop off my package in this post office，it is too far for me. But when I picked up they gave me a wrong package. I opened it and found that it is not my …
Moe Salih,· 108 reviews,Local Guide,3 years ago,The most disrespectful Canada post employee works at this location. A bald dark-skinned man. He treats customers as if he owns them. I'm glad that I'm moving from the area so I don't have to deal with him again.
Anton Shaikin,· 26 reviews,Local Guide,3 years ago,I don't understand why Canada Post won't take any action against the disgruntled employee who works there and is mentioned in literally every other review on here. He makes me hate going to this location.
Karl Kurniawan,· 67 reviews,Local Guide,3 years ago,Worst service... Rude staff that wont let you pick up your own paid parcel even presented official digital documents. Weird how the immigration and police office would accept certain digital documents yet a post office wont...
Mark Schacter,· 16 reviews,Local Guide,5 years ago,I use this Canada Post outlet all the time. Don't understand all the negative reviews. Staff are friendly and helpful. Thanks for the excellent service.
Naturally KIDS Inc.,2 reviews,,a month ago,Good people work here.
kharisma anindhita,· 87 reviews,Local Guide,5 years ago,"I went to this Canada post to send international parcel express post and got rejected because of the weight (22.3 kg) and the person said go to UPS or FedEx.. And then I went to Canada post at merivale mall, and they accepted it.."
Julian Fernandes,· 162 reviews,Local Guide,7 years ago,Busy here most times. But a nice shoppers overall. Clean and big with a good selection of products.
Sabrina Nemis,· 27 reviews,Local Guide,3 years ago,"Literally the worst service. If you have a couple of extra minutes, drive to the Meadowlands location, the staff are excellent there."
Simohamed Loukili,4 reviews,,10 months ago,"Worst service seen with Cody, frankly such a rudest and a coldest employee"
Taurvi Zarich,· 19 reviews,Local Guide,3 years ago,I would rather drive miles away than going to this place and speaking to Tim. He is the most ignorant Canada Post employee I have ever seen in my life.
